iter	Passed	Remaining
0	2	228
1	4	216
2	6	211
3	8	202
4	10	202
5	12	199
6	15	199
7	17	198
8	19	196
9	21	194
10	23	193
11	26	192
12	28	190
13	30	187
14	32	185
15	34	182
16	37	181
17	39	179
18	41	177
19	43	175
20	46	173
21	48	170
22	50	169
23	52	167
24	55	165
25	57	163
26	59	161
27	62	159
28	64	157
29	66	155
30	68	153
31	71	151
32	73	148
33	75	146
34	77	144
35	79	142
36	82	140
37	84	138
38	87	136
39	89	133
40	91	131
41	92	127
42	94	125
43	96	122
44	98	120
45	100	118
46	103	116
47	105	114
48	107	111
49	109	109
50	111	107
51	114	105
52	116	103
53	118	101
54	120	98
55	122	96
56	124	94
57	126	91
58	129	89
59	131	87
60	133	85
61	136	83
62	138	81
63	140	79
64	142	76
65	144	74
66	147	72
67	149	70
68	151	67
69	153	65
70	155	63
71	158	61
72	160	59
73	162	56
74	164	54
75	166	52
76	168	50
77	170	48
78	173	45
79	175	43
80	177	41
81	179	39
82	181	37
83	183	34
84	185	32
85	187	30
86	189	28
87	191	26
88	194	23
89	196	21
90	198	19
91	200	17
92	202	15
93	204	13
94	206	10
95	209	8
96	211	6
97	213	4
98	215	2
99	217	0
